v8-version,7,8,279,23,-node.34,0
code-creation,Builtin,3,18181,0x1372620,12,DatePrototypeSetUTCMonth
code-creation,Builtin,3,18187,0x1372640,12,DatePrototypeSetUTCSeconds
code-creation,Builtin,3,18193,0x1372660,12,DatePrototypeToDateString
code-creation,Builtin,3,18199,0x1372680,12,DatePrototypeToISOString
code-creation,Builtin,3,18205,0x13726a0,12,DatePrototypeToUTCString
code-creation,Builtin,3,18211,0x13726c0,12,DatePrototypeToString
code-creation,Builtin,3,18217,0x13726e0,12,DatePrototypeToTimeString
code-creation,Builtin,3,18223,0x1372700,12,DatePrototypeToJson
code-creation,Builtin,3,18229,0x1372720,12,DateUTC
code-creation,Builtin,3,18234,0x1372740,12,ErrorConstructor
code-creation,Builtin,3,18240,0x1372760,12,ErrorCaptureStackTrace
code-creation,Builtin,3,18245,0x1372780,12,ErrorPrototypeToString
code-creation,Builtin,3,18251,0x13727a0,12,MakeError
code-creation,Builtin,3,18256,0x13727c0,12,MakeRangeError
code-creation,Builtin,3,18262,0x13727e0,12,MakeSyntaxError
code-creation,Builtin,3,18267,0x1372800,12,MakeTypeError
code-creation,Builtin,3,18273,0x1372820,12,MakeURIError
code-creation,Builtin,3,18278,0x1372840,12,ExtrasUtilsUncurryThis
code-creation,Builtin,3,18284,0x1372860,12,ExtrasUtilsCallReflectApply
code-creation,Builtin,3,18291,0x1372880,12,FunctionConstructor
code-creation,Builtin,3,18300,0x13728a0,64,FunctionPrototypeApply
code-creation,Builtin,3,18312,0x1372900,12,FunctionPrototypeBind
code-creation,Builtin,3,18320,0x1372920,928,FastFunctionPrototypeBind
code-creation,Builtin,3,18329,0x1372ce0,47,FunctionPrototypeCall
